Symbol,Current_Price,Trend_Strength_Score,Trend_Rating,Short_Term_Strength,Medium_Term_Strength,Long_Term_Strength,Momentum_Consistency,Volume_Validation,Trend_Direction,Trend_Magnitude,Trend_Quality,Monthly_Return,Annual_Return,Volatility,Max_Drawdown,Sharpe_Ratio,Beta,Market_Cap_B,Sector,Trend_Rank,Rank
WIPRO.NS,248.63999938964844,0.45888687316509646,Sideways/Neutral,0.5238452071354021,0.5009628406940922,0.3190681975730404,0.37255864873620714,0.6215084990720118,0,0.001986384651883074,0.0,-0.03177151504506472,-0.01750346951544479,0.2724873849120981,0.26610249782526174,0.35882422428975586,0.596,2603.58406144,Technology,41.0,41
SHRIRAMFIN.NS,615.8499755859375,0.45144370553469526,Sideways/Neutral,0.2481840993560028,0.3730577908048864,0.6452131686184632,0.3900649652318176,0.591529340152564,-1,0.0016580357933739295,0.75,-0.027937830554919454,-0.009481507746740815,0.3489119132011764,0.2900455860223041,0.8312829246183603,0.854,1158.36452864,Financial Services,42.0,42
ITC.NS,398.29998779296875,0.44762527183824247,Weak Downtrend,0.15792996309535548,0.4929973204263455,0.3568940064181075,0.7344682260333231,0.6226414240203978,-1,0.0017950163386919573,1.0,-0.028418158475816933,-0.18472207889687597,0.18196052319207284,0.23274520615452984,-0.36705263338359156,0.057,4989.38413056,Consumer Defensive,43.0,43
ADANIENT.NS,2324.89990234375,0.4455930139914325,Weak Downtrend,0.3515823941795827,0.37617911989210745,0.5356924406060909,0.3418059092918805,0.6402517242478947,-1,0.0019358504050834581,0.75,-0.10868732196518796,-0.25342982591274194,0.4140177250167839,0.4247732397650033,-0.09069341874796882,0.71,2683.352907776,Energy,44.0,44
SUNPHARMA.NS,1641.800048828125,0.44305303281800146,Weak Downtrend,0.41834280040900274,0.4340039126014606,0.27927935495970135,0.5823654883502393,0.6247255506224969,0,0.0010320874705843051,0.0,-0.029669001874630615,-0.060928906082319656,0.1957316905722121,0.19128608185075827,0.8462125054813016,0.313,3939.220062208,Healthcare,45.0,45
POWERGRID.NS,283.3500061035156,0.41596318353909856,Weak Downtrend,0.2337959136441726,0.4414733963070385,0.4056301334424562,0.4595320187367893,0.5899887704158131,-1,0.001378154091912466,0.75,-0.04935653912532078,-0.13252403405283122,0.27671463118579315,0.2955904525229664,0.8730711067436892,0.266,2635.324981248,Utilities,46.0,46
AXISBANK.NS,1070.9000244140625,0.4094815887884966,Weak Downtrend,0.31080461184429886,0.37863003980249793,0.5482690423392733,0.3302834405927401,0.4403558653018867,0,0.0014700652554827383,0.0,-0.022098394403603856,-0.08735080577624689,0.23389949893826953,0.28027026628468854,0.15168940223267272,0.476,3322.285391872,Financial Services,47.0,47
ONGC.NS,236.2899932861328,0.4085166763183943,Weak Downtrend,0.3414488063591346,0.44544399661260475,0.3313657913119978,0.36123719690056844,0.6122592568688762,-1,0.0006743160773822868,0.75,-0.03488138088082408,-0.24070090967805582,0.3169946783624761,0.322604569269977,0.6294261269955042,0.383,2972.717154304,Energy,48.0,48
HCLTECH.NS,1466.300048828125,0.40465365845473394,Weak Downtrend,0.3592623041946836,0.3497110995370135,0.347685311117163,0.30064418668849757,0.7557031129931898,-1,0.000946261465579459,0.75,-0.027136347975561963,-0.09687215350856912,0.24268273650016198,0.30662005261569447,0.5213030311136014,0.23,3972.661248,Technology,49.0,49
INDUSINDBK.NS,760.0999755859375,0.3371270764059849,Moderate Downtrend,0.09009423288211131,0.35983970108243596,0.30564965233259234,0.5068089293608707,0.5114303471444995,-1,0.003374561633697997,1.0,-0.10355000153325722,-0.45079481532807986,0.3603310031900842,0.6186029724730101,-0.7932273262698885,0.646,592.175628288,Financial Services,50.0,50
